EmployeeID;EmploymentType;Department;Gender;AgeGroup;Education;JobRole;JobSatisfaction;Performance;WorkLifeBalance;HireDate;TerminationDate;Salary
1;Full-time;Marketing;Female;30-40;Below College;Sales Executive;Very High;Excellent;Bad;27/04/2020;;96653,38
2;Full-time;Finance;Male;30-40;Doctor;Manager;Low;Good;Bad;12/11/2020;;121236,76
3;Full-time;Finance;Female;30-40;Bachelor;Manager;High;Excellent;Good;20/09/2020;13/05/2023;85435,69
4;Full-time;Research & Development;Male;60+;College;Finance Director;Low;Low;Good;07/09/2023;;125841,42
5;Full-time;Research & Development;Female;20-30;Bachelor;Research Scientist;Very High;Low;Best;17/05/2020;;97771,35
6;Contractor;Research & Development;Male;20-30;Bachelor;Sales Executive;Medium;Outstanding;Good;09/12/2020;;126555,69
7;Contractor;Marketing;Other;30-40;Below College;Manager;Very High;Good;Good;26/08/2021;;83549,72
8;Full-time;Finance;Female;40-50;Bachelor;Manager;Medium;Outstanding;Bad;11/05/2020;;116355,05
9;Full-time;Sales;Male;60+;College;HR Specialist;Medium;Outstanding;Bad;28/06/2020;;112473,17
10;Contractor;HR;Male;20-30;Bachelor;HR Specialist;Low;Good;Bad;16/09/2020;;53204
11;Contractor;IT;Female;60+;College;HR Specialist;Very High;Outstanding;Good;21/04/2020;;131015,88
12;Contractor;IT;Female;60+;Below College;Research Scientist;Very High;Excellent;Good;09/05/2020;;100642,61
13;Full-time;IT;Male;40-50;College;HR Specialist;Very High;Low;Better;08/01/2020;;75946,84
14;Contractor;Research & Development;Female;20-30;Below College;IT Analyst;Very High;Excellent;Bad;24/01/2022;;101463,57
15;Contractor;Sales;Male;Below 20;Master;Sales Executive;High;Low;Better;14/07/2020;;150030,42
16;Contractor;Sales;Female;60+;College;Finance Director;Low;Outstanding;Better;02/12/2020;;139961,04
17;Contractor;IT;Male;20-30;Master;Finance Director;Low;Excellent;Best;12/04/2020;;135126,31
18;Full-time;Marketing;Male;40-50;College;HR Specialist;Very High;Good;Good;13/06/2020;;57585,61
19;Contractor;Sales;Female;30-40;College;IT Analyst;High;Excellent;Bad;26/04/2020;;115994,34
20;Contractor;Marketing;Female;30-40;Doctor;Sales Executive;Medium;Outstanding;Bad;28/05/2020;;135846,04
21;Contractor;HR;Male;50-60;Doctor;HR Specialist;Low;Excellent;Bad;11/03/2020;01/03/2022;50740,05
22;Contractor;Finance;Other;60+;Bachelor;IT Analyst;Very High;Good;Best;22/12/2020;15/07/2023;132996,16
23;Contractor;Finance;Female;30-40;Below College;Sales Executive;Medium;Good;Better;27/02/2020;03/08/2022;59370,75
24;Contractor;Sales;Male;20-30;Below College;Research Scientist;Medium;Excellent;Good;04/02/2020;;70911,91
25;Contractor;Sales;Other;20-30;Master;Sales Executive;High;Excellent;Better;15/07/2020;;150412,34
26;Full-time;HR;Male;30-40;College;Sales Executive;Low;Outstanding;Bad;04/01/2020;;117939,47
27;Full-time;Sales;Female;30-40;Master;IT Analyst;Medium;Excellent;Bad;01/03/2020;06/01/2022;58064,6
28;Full-time;Marketing;Female;Below 20;Doctor;IT Analyst;Very High;Low;Good;08/01/2020;05/08/2022;109552,02
29;Contractor;IT;Male;40-50;College;HR Specialist;High;Outstanding;Better;14/12/2020;;127019,23
30;Full-time;Marketing;Male;Below 20;Below College;Sales Executive;High;Good;Best;03/01/2020;;63116,73
31;Full-time;HR;Male;40-50;Doctor;HR Specialist;Very High;Low;Bad;27/06/2020;01/06/2022;115268,2
32;Full-time;Research & Development;Female;30-40;Master;IT Analyst;Low;Outstanding;Better;05/10/2020;03/06/2023;151640,92
33;Contractor;Sales;Male;40-50;College;IT Analyst;Medium;Excellent;Good;14/01/2020;;76882,44
34;Full-time;Finance;Female;20-30;Bachelor;Finance Director;High;Low;Bad;22/02/2020;;138317,65
35;Contractor;HR;Male;40-50;Below College;Sales Executive;Medium;Low;Better;04/06/2020;30/03/2023;89090,97
36;Contractor;Marketing;Female;60+;Bachelor;IT Analyst;Medium;Outstanding;Good;07/06/2020;;71836,23
37;Contractor;Finance;Male;50-60;Doctor;Manager;Low;Outstanding;Bad;16/04/2020;;66913,86
38;Contractor;IT;Male;60+;College;Manager;Medium;Good;Bad;22/08/2020;;133967,38
39;Full-time;Finance;Male;60+;Master;Manager;Medium;Outstanding;Better;01/11/2020;;128268,93
40;Full-time;Sales;Female;Below 20;Bachelor;Finance Director;Medium;Excellent;Best;02/09/2020;;101686,84
41;Contractor;Marketing;Female;40-50;Bachelor;Research Scientist;High;Excellent;Better;17/03/2020;27/01/2023;96605,61
42;Contractor;HR;Female;50-60;Below College;Manager;Medium;Excellent;Bad;25/01/2021;19/06/2022;71375,28
43;Full-time;HR;Female;Below 20;College;Sales Executive;Very High;Excellent;Good;10/02/2020;;123263,7
44;Contractor;Marketing;Female;Below 20;Bachelor;Manager;Medium;Outstanding;Good;24/02/2020;24/07/2021;110076,19
45;Full-time;Research & Development;Female;60+;Doctor;IT Analyst;Very High;Low;Bad;12/01/2020;;132243,45
46;Full-time;Marketing;Male;Below 20;Below College;Research Scientist;Low;Excellent;Good;02/10/2020;;115513,79
47;Full-time;Sales;Male;40-50;College;Sales Executive;Very High;Low;Best;23/10/2020;30/01/2022;86917,58
48;Contractor;Finance;Male;40-50;Bachelor;IT Analyst;Medium;Outstanding;Best;07/09/2023;;112150,73
49;Contractor;Research & Development;Female;20-30;Below College;HR Specialist;High;Outstanding;Good;26/12/2021;;162516,57
50;Full-time;Finance;Male;40-50;Below College;IT Analyst;Medium;Good;Better;11/04/2020;;68263,56
51;Full-time;Finance;Female;Below 20;Master;HR Specialist;Medium;Excellent;Bad;24/02/2020;19/09/2021;75089
52;Contractor;Sales;Female;30-40;Master;IT Analyst;Low;Good;Bad;14/05/2020;23/07/2021;122590,44
53;Contractor;Finance;Female;40-50;College;Sales Executive;Low;Low;Bad;15/10/2021;26/03/2023;140948,17
54;Full-time;Marketing;Male;30-40;Bachelor;Research Scientist;Very High;Low;Better;07/11/2020;;94035,98
